Index	Link	Playlist ID	Optional / Essential (O/E)
			
	Baseline Exam	g3_p1, g3_p2, g3_p3, g3_p4, g3_p5, g3_p6, g3_p7, g3_p8, g3_p9, g3_p10, g3_p11, g3_p12	E
			
Playlist 1: Place values		g4_p1	E
	Subtitle: Week 1	g4_p1	E
Video 1	/v/place-value-1/	g4_p1	E
Video 2	/v/place-value-2/	g4_p1	E
Video 3	/v/place-value-3/	g4_p1	E
Video 4	/v/representing-numbers/	g4_p1	E
Video 5	/v/comparing-place-values/	g4_p1	E
Video 6	/v/understanding-place-value-1-exercise/	g4_p1	E
Video 7	/v/place-value-relationships-example/	g4_p1	E
Exercise 1	/e/place_value/	g4_p1	E
			
Playlist 2: Understanding & regrouping whole numbers; Counting and Greater than/Less than basics		g4_p2	E
Video 1	/v/regrouping-numbers-intro-various-place-values/ 	g4_p2	E
Video 2	/v/comparing-whole-number-place-values/	g4_p2	E
Video 3	/v/largest-possible-number-from-4-digits-example/	g4_p2	E
Video 4	/v/counting-1-exercise/	g4_p2	E
Exercise 1	/e/counting_1/	g4_p2	E
	Quiz 1	g4_p2	E
	Subtitle: Week 2	g4_p2	E
Video 5	/v/regrouping-whole-numbers/	g4_p2	E
Video 6	/v/regrouping-whole-numbers-example-1/	g4_p2	E
Video 7	/v/regrouping-whole-numbers-example-2/	g4_p2	E
Video 8	/v/greater-than-and-less-than-symbols/	g4_p2	E
Video 9	/v/plotting-inequalities-on-a-number-line/	g4_p2	E
Video 10	/v/writing-numerical-inequalities-exercise/	g4_p2	E
Video 11	/v/inequalities-in-one-variable-1-exercise/ 	g4_p2	E
Video 12	/v/inequalities-on-a-number-line/	g4_p2	E
Exercise 2	/e/comparing_whole_numbers/	g4_p2	E
Exercise 3	/e/inequalities_on_a_number_line/	g4_p2	E
	Quiz 2	g4_p2	E
			
Playlist 3:  Addition & Subtraction; Addition with carrying; 		g4_p3	E
	Subtitle: Week 3	g4_p3	E
Video 1	/v/basic-addition/	g4_p3	E
Video 2	/v/basic-subtraction/	g4_p3	E
Exercise 1	/e/addition_1/	g4_p3	E
Exercise 2	/e/subtraction_1/	g4_p3	E
Video 3	/v/adding-whole-numbers-and-applications-1/	g4_p3	E
Video 4	/v/subtraction-2/	g4_p3	E
Video 5	/v/subtracting-whole-numbers/	g4_p3	E
Video 6	/v/level-2-addition/	g4_p3	E
Exercise 3	/e/addition_2/	g4_p3	E
Exercise 4	/e/subtraction_2/	g4_p3	E
Video 7	/v/carrying-when-adding-three-digit-numbers/	g4_p3	E
Video 8	/v/why-carrying-works/	g4_p3	E
Video 9	/v/example-adding-with-carrying/	g4_p3	E
Video 10	/v/addition-4/	g4_p3	E
Exercise 5	/e/addition_3/	g4_p3	E
Exercise 6	/e/addition_4/	g4_p3	E
	Quiz 3	g4_p3	E
			
Playlist 4:  Subtraction with carrying; Addition & Subtraction Word Problems		g4_p4	E
	Subtitle: Week 4	g4_p4	E
Video 1	/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers/	g4_p4	E
Video 2	/v/regrouping-when-subtracting-three-digit-numbers/	g4_p4	E
Video 3	/v/regrouping-twice-when-subtracting-three-digit-numbers/	g4_p4	E
Video 4	/v/regrouping-from-0-when-subtracting-three-digit-numbers/	g4_p4	E
Video 5	/v/borrowing-once-example-1/ 	g4_p4	E
Video 6	/v/borrowing-once-example-2/	g4_p4	E
Video 7	/v/regrouping--borrowing--twice-example/	g4_p4	E
Video 8	/v/alternate-mental-subtraction-method/	g4_p4	E
Exercise 1	/e/subtraction_3/	g4_p4	E
Exercise 2	/e/subtraction_4/	g4_p4	E
Video 9	/v/subtraction-word-problem/	g4_p4	E
Exercise3	/e/arithmetic_word_problems_1/	g4_p4	E
	Quiz 4	g4_p4	E
			
Playlist 5: Concept of multiplication; Basic Multiplication 		g4_p5	E
	Subtitle: Week 5	g4_p5	E
Video 1	/v/multiplication-intro/	g4_p5	E
Video 2	/v/multiplication-as-groups-of-objects/	g4_p5	E
Video 3	/v/more-on-the-concept-of-multiplication/	g4_p5	E
Video 4	/v/number-line-1/	g4_p5	E
Video 5	/v/basic-multiplication/	g4_p5	E
Video 6	/v/multiplication-2--the-multiplication-tables/	g4_p5	E
Video 7	/v/multiplying-whole-numbers-and-applications-1/	g4_p5	E
Video 8	/v/multiplication-3--10-11-12-times-tables/	g4_p5	E
Exercise 1	/e/number_line/	g4_p5	E
Exercise 2	/e/multiplication_0.5/	g4_p5	E
	Quiz 5	g4_p5	E
			
	Unit Test 1	g4_p1, g4_p2, g4_p3, g4_p4	E
			
Playlist 6: Multi-digit multiplication; Lattice Multiplication 		g4_p6	E
	Subtitle: Week 6	g4_p6	E
Video 1	/v/multiplying-by-multiples-of-10/	g4_p6	E
Video 2	/v/more-on-the-concept-of-multiplication/	g4_p6	E
Video 3	/v/more-on-the-concept-of-multiplication/	g4_p6	E
Video 4	/v/number-line-1/	g4_p6	E
Video 5	/v/3-digit-times-1-digit-example/	g4_p6	E
Video 6	/v/4-digit-times-1-digit-example/	g4_p6	E
Video 7	/v/multiplication-5---2-digit-times-a-2-digit-number/	g4_p6	E
Video 8	/v/multiplying-whole-numbers-and-applications-2/	g4_p6	E
Video 9	/v/multiplication-6--multiple-digit-numbers/	g4_p6	E
Video 10	/v/multiplying-whole-numbers-and-applications-4/	g4_p6	E
Video 11	/v/multiplication-7--old-video-giving-more-examples/	g4_p6	E
Exercise 1	/e/multiplication_1/	g4_p6	E
Exercise 2	/e/multiplication_1.5/	g4_p6	E
Exercise 3	/e/multiplication_2/	g4_p6	E
Exercise 4	/e/multiplication_3/	g4_p6	E
Exercise 5	/e/multiplication_4/	g4_p6	E
Video 12	/v/lattice-multiplication/	g4_p6	E
Video 13	/v/why-lattice-multiplication-works/	g4_p6	E
	Quiz 6	g4_p6	E
			
Playlist 7: Multiplication Word Problems		g4_p7	E
	Subtitle: Week 7	g4_p7	E
Video 1	/v/comparing-with-multiplication-exercise/	g4_p7	E
Video 2	/v/multiplying-whole-numbers-and-applications-6/	g4_p7	E
Video 3	/v/multiplication-word-problem-example-1/	g4_p7	E
Video 4	/v/division-word-problem-example-1/	g4_p7	E
Video 5	/v/multiplication-and-division-word-problems-2/	g4_p7	E
Exercise 1	/e/arithmetic_word_problems_2/	g4_p7	E
Exercise 2	/e/arithmetic_word_problems/	g4_p7	E
	Quiz 7	g4_p7	E
	Subtitle: Week 8	g4_p7	E
Video 6	/v/multi-step-word-problems-with-whole-numbers-exercise-1/	g4_p7	E
Video 7	/v/multi-step-word-problems-with-whole-numbers-exercise-t2/	g4_p7	E
Video 8	/v/multi-step-word-problems-with-whole-numbers-exercise-3/	g4_p7	E
Video 9	/v/understanding-multiplication-through-area-models/	g4_p7	E
Video 10	/v/area-model-for-multiplication/	g4_p7	E
Video 11	/v/multistep-word-problems-example-1/	g4_p7	E
Video 12	/v/multistep-word-problems-example-2/	g4_p7	E
Video 13	/v/multistep-word-problems-example-3/	g4_p7	E
			
Playlist 8: Measuring Segments; Number Patterns (OPTIONAL)		g4_p8	O
	Subtitle: Week 9	g4_p8	O
Video 1	/v/measuring-segments/	g4_p8	O
Video 2	/v/congruent-segments/	g4_p8	O
Exercise 1	/e/measuring_segments/	g4_p8	O
Exercise 2	/e/congruent_segments/	g4_p8	O
Video 3	/v/figuring-out-days-of-the-week/	g4_p8	O
Video 4	/v/math-patterns-example-1/	g4_p8	O
Video 5	/v/math-patterns-example-2/	g4_p8	O
Video 6	/v/relationships-between-patterns/	g4_p8	O
Video 7	/v/interpreting-relationships-between-patterns/	g4_p8	O
Video 8	/v/interpreting-and-graphing-relationships-between-patterns/	g4_p8	O
			
	Unit Test 2	g4_p5, g4_p6, g4_p7	E
			
Playlist 9: Division		g4_p9	E
	Subtitle: Week 10	g4_p9	E
Video 1	/v/the-idea-of-division/	g4_p9	E
Video 2	/v/division-1/	g4_p9	E
Video 3	/v/dividing-whole-numbers-and-applications-1/	g4_p9	E
Exercise 1	/e/division_0.5/	g4_p9	E
Exercise 2	/e/division_1/	g4_p9	E
	Quiz 8	g4_p9	E
	Subtitle: Week 11	g4_p9	E
Video 4	/v/division-2/	g4_p9	E
Video 5	/v/introduction-to-remainders/	g4_p9	E
Video 6	/v/long-division-with-remainder-example/	g4_p9	E
Video 7	/v/division-3--more-long-division-and-remainder-examples/	g4_p9	E
Video 8	/v/dividing-by-a-two-digit-number/	g4_p9	E
Video 9	/v/level-4-division/	g4_p9	E
Exercise 3	/e/division_1.5/	g4_p9	E
Exercise 4	/e/division_2/	g4_p9	E
	Subtitle: Week 12	g4_p9	E
Exercise 5	/e/division_3/	g4_p9	E
Exercise 6	/e/division_4/	g4_p9	E
Video 10	/v/partial-quotient-division/	g4_p9	E
Video 11	/v/partial-quotient-method-of-division-2/	g4_p9	E
	Quiz 9	g4_p9	E
			
Playlist 10: Division Word Problems; Revision of Multiplication & Division		g4_p10	E
	Subtitle: Week 13	g4_p10	E
Video 1	/v/comparing-with-multiplication-exercise/	g4_p10	E
Video 2	/v/multiplying-whole-numbers-and-applications-6/	g4_p10	E
Video 3	/v/multiplication-word-problem-example-1/	g4_p10	E
Video 4	/v/division-word-problem-example-1/	g4_p10	E
Video 5	/v/multiplication-and-division-word-problems-2/	g4_p10	E
Exercise 1	/e/arithmetic_word_problems_2/	g4_p10	E
Exercise 2	/e/arithmetic_word_problems/	g4_p10	E
Video 6	/v/multi-step-word-problems-with-whole-numbers-exercise-1/	g4_p10	E
Video 7	/v/multi-step-word-problems-with-whole-numbers-exercise-t2/	g4_p10	E
Video 8	/v/multi-step-word-problems-with-whole-numbers-exercise-3/	g4_p10	E
Video 9	/v/constructing-numerical-expressions-example/	g4_p10	E
Video 10	/v/evaluating-an-expression-with-and-without-parentheses/	g4_p10	E
	Quiz 10	g4_p10	E
			
	Unit Test 3	g4_p9, g4_p10	E
			
Playlist 11: Tables & Bar Graphs		g4_p11	E
	Subtitle: Week 16	g4_p11	E
Video 1	/v/reading-tables-1/	g4_p11	E
Exercise 1	/e/reading_tables_1/	g4_p11	E
Video 2	/v/u08-l1-t2-we3-stem-and-leaf-plots/	g4_p11	E
Video 3	/v/reading-pictographs/	g4_p11	E
Exercise 2	/e/reading_pictographs_1/	g4_p11	E
Exercise 3	/e/reading_pictographs_2/	g4_p11	E
	Quiz 11	g4_p11	E
	Subtitle: Week 17	g4_p11	E
Video 4	/v/reading-bar-graphs/	g4_p11	E
Video 5	/v/reading-bar-charts-1/	g4_p11	E
Exercise 4	/e/reading_bar_charts_1/	g4_p11	E
Video 6	/v/creating-bar-charts-1/	g4_p11	E
Exercise 5	/e/creating_bar_charts_1/	g4_p11	E
Video 7	/v/reading-bar-charts-2/	g4_p11	E
Exercise 6	/e/reading_bar_charts_2/	g4_p11	E
	Quiz 12	g4_p11	E
			
Playlist 12: Telling Time		g4_p12	E
	Subtitle: Week 19	g4_p12	E
Video 1	/v/figuring-out-days-of-the-week/	g4_p12	E
Video 2	/v/telling-time-exercise-example-1/	g4_p12	E
Video 3	/v/telling-time-exercise-example-2/	g4_p12	E
Exercise 1	/e/telling_time_0.5/	g4_p12	E
	Subtitle: Week 20	g4_p12	E
Exercise 2	/e/telling_time/	g4_p12	E
Exercise 3	/e/telling_time_2/	g4_p12	E
	Quiz 13	g4_p12	E
			
	Unit Test 4	g4_p11, g4_p12	E
			
Playlist 13: Understanding Fractions		g4_p13	E
	Subtitle: Week 21	g4_p13	E
Video 1	/v/introduction-to-fractions/	g4_p13	E
Video 2	/v/identifying-fraction-parts/	g4_p13	E
Video 3	/v/recognizing-fractions-exercise/	g4_p13	E
Exercise 1	/e/recognizing_fractions_0.5/	g4_p13	E
Video 4	/v/numerator-and-denominator-of-a-fraction/	g4_p13	E
Exercise 2	/e/recognizing_fractions/	g4_p13	E
Video5	/v/plotting-basic-fractions-on-the-number-line/	g4_p13	E
Exercise 3	/e/fractions_on_the_number_line_1/	g4_p13	E
Video 6	/v/fraction-word-problems-1-exercise/	g4_p13	E
Exercise 4	/e/fraction_word_problems_1/	g4_p13	E
	Quiz 14	g4_p13	E
			
Playlist 14: Visualizing, Comparing & Decomposing Fractions		g4_p14	E
	Subtitle: Week 22	g4_p14	E
Video 1	/v/visualizing-equivalent-fractions/	g4_p14	E
Video 2	/v/equivalent-fraction-word-problem-example/	g4_p14	E
Video 3	/v/equivalent-fraction-word-problem-example-2/	g4_p14	E
Video 4	/v/equivalent-fraction-word-problem-example-3/	g4_p14	E
Video 5	/v/fractions-cut-and-copy-1-exercise/	g4_p14	E
Exercise 1	/e/fractions_cut_and_copy_1/	g4_p14	E
Video 6	/v/comparing-fractions-with-greater-than-and-less-than-symbols/	g4_p14	E
Video 7	/v/fractions-with-like-denominators-numerators/	g4_p14	E
Video 8	/v/comparing-fractions/	g4_p14	E
Exercise 2	/e/comparing_fractions_1/	g4_p14	E
Video 9	/v/decomposing-a-fraction-visually/	g4_p14	E
Video 10	/v/decomposing-a-mixed-number/	g4_p14	E
Video 11	/v/adding-up-to-a-fraction-drag-and-drop-example/	g4_p14	E
	Quiz 15	g4_p14	E
			
Playlist 15: Adding & Subtracting Fractions		g4_p15	E
	Subtitle: Week 23	g4_p15	E
Video 1	/v/adding-fractions-with-like-denominators/	g4_p15	E
Video 2	/v/subtracting--fractions/	g4_p15	E
Video 3	/v/adding-and-subtracting-fractions/	g4_p15	E
Exercise 1	/e/adding_fractions_with_common_denominators/	g4_p15	E
Exercise 2	/e/subtracting_fractions_with_common_denominators/	g4_p15	E
Video 4	/v/comparing-improper-fractions-and-mixed-numbers/	g4_p15	E
Exercise 3	/e/comparing_improper_fractions_and_mixed_numbers/	g4_p15	E
Video 5	/v/mixed-numbers-and-improper-fractions/	g4_p15	E
Video 6	/v/proper-and-improper-fractions/	g4_p15	E
	Quiz 16	g4_p15	E
	Subtitle: Week 24	g4_p15	E
Video 7	/v/converting-mixed-numbers-to-improper-fractions/	g4_p15	E
Exercise 4	/e/converting_mixed_numbers_and_improper_fractions/	g4_p15	E
Video 8	/v/changing-a-mixed-number-to-an-improper-fraction/	g4_p15	E
Video 9	/v/changing-an-improper-fraction-to-a-mixed-number/	g4_p15	E
Video 10	/v/postive-improper-fractions-on-the-number-line/	g4_p15	E
Exercise 5	/e/fractions_on_the_number_line_2/	g4_p15	E
Video 11	/v/ordering-improper-fractions-and-mixed-numbers/	g4_p15	E
Exercise 6	/e/ordering_improper_fractions_and_mixed_numbers/	g4_p15	E
Video 12	/v/fractions-cut-and-copy-2-exercise-example/	g4_p15	E
Video 13	/v/adding-mixed-numbers/	g4_p15	E
	Quiz 17	g4_p15	E
			
	Unit Test 5	g4_p13, g4_p14, g4_p15	E
			
Playlist 16: Non-standard shapes; Angle basics & measurements		g4_p16	E
	Subtitle: Week 25	g4_p16	E
Video 1	/v/quadrilateral-overview/	g4_p16	E
Video 2	/v/quadrilateral-properties/	g4_p16	E
Video 3	/v/perimeter-of-a-polygon/	g4_p16	E
Exercise 1	Subtitle: Week 26	g4_p16	E
Video 4	/v/angle-basics/	g4_p16	E
Video 5	/v/measuring-angles-in-degrees/	g4_p16	E
Video 6	/v/using-a-protractor/	g4_p16	E
Video 7	/v/measuring-angles/	g4_p16	E
Exercise 2	/e/measuring_angles/	g4_p16	E
Video 8	/v/acute-right-and-obtuse-angles/	g4_p16	E
Exercise 3	/e/angle_types/	g4_p16	E
Video 9	/v/vertical--adjacent-and-linearly-paired-angles/	g4_p16	E
Exercise 4	/e/exploring_angle_pairs_1/	g4_p16	E
	Quiz 18	g4_p16	E
			
Playlist 17: Logical Reasoning (OPTIONAL)		g4_p17	O
	Subtitle: Week 26	g4_p17	O
Video 1	/v/conditional-statements-and-deductive-reasoning/	g4_p17	O
Video 2	/v/conditional-statements-exercise-examples/	g4_p17	O
Video 3	/v/logical-argument-and-deductive-reasoning-exercise-example/	g4_p17	O
Exercise 1	/e/conditional_statements_2/	g4_p17	O
Exercise 2	/e/logical_arguments_deductive_reasoning/	g4_p17	O
Exercise 3	 /e/conditional_statements_and_truth_value/	g4_p17	O
			
Playlist 18: Addition & Subtraction Word Problems; Circumference & Area of Circles		g4_p18	E
	Subtitle: Week 27	g4_p18	E
Video 1	/v/subtraction-word-problem/	g4_p18	E
Exercise 1	/e/arithmetic_word_problems_1/	g4_p18	E
	Subtitle: Week 30	g4_p18	E
Video 2	/v/circles--radius--diameter-and-circumference/	g4_p18	E
Video 3	/v/parts-of-a-circle/	g4_p18	E
Exercise 2	/e/radius_diameter_and_circumference/	g4_p18	E
Video 4	/v/language-and-notation-of-the-circle/	g4_p18	E
Video 5	/v/circles--radius--diameter-and-circumference/	g4_p18	E
Video 6	/v/parts-of-a-circle/	g4_p18	E
			
	Unit Test 6	g4_p16, g4_p18	E